Date,Open,High,Low,Close
2004/8/3,8.277,8.277,8.277,8.277
2004/8/4,8.277,8.277,8.277,8.277
2004/8/5,8.277,8.277,8.277,8.277
2004/8/6,8.2769,8.2769,8.2769,8.2769
2004/8/9,8.2769,8.2769,8.2769,8.2769
2004/8/10,8.2769,8.2769,8.2769,8.2769
2004/8/11,8.277,8.277,8.277,8.277
2004/8/12,8.2769,8.2769,8.2769,8.2769
2004/8/13,8.2769,8.2769,8.2769,8.2769
2004/8/16,8.2768,8.2768,8.2768,8.2768
2004/8/17,8.2768,8.2768,8.2768,8.2768
2004/8/18,8.2767,8.2767,8.2767,8.2767
2004/8/19,8.2767,8.2767,8.2767,8.2767
2004/8/20,8.2768,8.2768,8.2768,8.2768
2004/8/23,8.2767,8.2767,8.2767,8.2767
2004/8/24,8.2767,8.2767,8.2767,8.2767
2004/8/25,8.2767,8.2767,8.2767,8.2767
2004/8/26,8.2766,8.2766,8.2766,8.2766
2004/8/27,8.2766,8.2766,8.2766,8.2766
2004/8/30,8.2767,8.2767,8.2767,8.2767
2004/8/31,8.2767,8.2767,8.2767,8.2767
2004/9/1,8.2766,8.2766,8.2766,8.2766
2004/9/2,8.2766,8.2766,8.2766,8.2766
2004/9/3,8.2767,8.2767,8.2767,8.2767
2004/9/6,8.2767,8.2767,8.2767,8.2767
2004/9/7,8.2766,8.2766,8.2766,8.2766
2004/9/8,8.2767,8.2767,8.2767,8.2767
2004/9/9,8.2767,8.2767,8.2767,8.2767
2004/9/10,8.2768,8.2768,8.2768,8.2768
2004/9/13,8.2766,8.2766,8.2766,8.2766
2004/9/14,8.2766,8.2766,8.2766,8.2766
2004/9/15,8.2767,8.2767,8.2767,8.2767
2004/9/16,8.2768,8.2768,8.2768,8.2768
2004/9/17,8.2766,8.2766,8.2766,8.2766
2004/9/20,8.2767,8.2767,8.2767,8.2767
2004/9/21,8.2767,8.2767,8.2767,8.2767
2004/9/22,8.2766,8.2766,8.2766,8.2766
2004/9/23,8.2766,8.2766,8.2766,8.2766
2004/9/24,8.2766,8.2766,8.2766,8.2766
2004/9/27,8.2766,8.2766,8.2766,8.2766
2004/9/29,8.2766,8.2766,8.2766,8.2766
2004/9/30,8.2766,8.2766,8.2766,8.2766
2004/10/8,8.2766,8.2766,8.2766,8.2766
2004/10/9,8.2768,8.2768,8.2768,8.2768
2004/10/10,8.2767,8.2767,8.2767,8.2767
2004/10/11,8.2767,8.2767,8.2767,8.2767
2004/10/12,8.2765,8.2765,8.2765,8.2765
2004/10/13,8.2765,8.2765,8.2765,8.2765
2004/10/14,8.2765,8.2765,8.2765,8.2765
2004/10/15,8.2765,8.2765,8.2765,8.2765
2004/10/19,8.2765,8.2765,8.2765,8.2765
2004/10/20,8.2765,8.2765,8.2765,8.2765
2004/10/21,8.2765,8.2765,8.2765,8.2765
2004/10/22,8.2765,8.2765,8.2765,8.2765
2004/10/26,8.2765,8.2765,8.2765,8.2765
2004/10/27,8.2765,8.2765,8.2765,8.2765
2004/10/28,8.2765,8.2765,8.2765,8.2765
2004/10/29,8.2765,8.2765,8.2765,8.2765
2004/11/1,8.2765,8.2765,8.2765,8.2765
2004/11/2,8.2765,8.2765,8.2765,8.2765
2004/11/3,8.2765,8.2765,8.2765,8.2765
2004/11/4,8.2765,8.2765,8.2765,8.2765
2004/11/5,8.2765,8.2765,8.2765,8.2765
2004/11/8,8.2765,8.2765,8.2765,8.2765
2004/11/9,8.2765,8.2765,8.2765,8.2765
2004/11/10,8.2765,8.2765,8.2765,8.2765
2004/11/11,8.2765,8.2765,8.2765,8.2765
2004/11/12,8.2765,8.2765,8.2765,8.2765
2004/11/15,8.2765,8.2765,8.2765,8.2765
2004/11/16,8.2765,8.2765,8.2765,8.2765
2004/11/17,8.2765,8.2765,8.2765,8.2765
2004/11/18,8.2765,8.2765,8.2765,8.2765
2004/11/19,8.2765,8.2765,8.2765,8.2765
2004/11/22,8.2765,8.2765,8.2765,8.2765
2004/11/23,8.2765,8.2765,8.2765,8.2765
2004/11/24,8.2765,8.2765,8.2765,8.2765
2004/11/25,8.2765,8.2765,8.2765,8.2765
2004/11/26,8.2765,8.2765,8.2765,8.2765
2004/11/30,8.2765,8.2765,8.2765,8.2765
2004/12/1,8.2765,8.2765,8.2765,8.2765
2004/12/2,8.2765,8.2765,8.2765,8.2765
2004/12/3,8.2765,8.2765,8.2765,8.2765
2004/12/9,8.2765,8.2765,8.2765,8.2765
2004/12/10,8.2765,8.2765,8.2765,8.2765
2004/12/13,8.2765,8.2765,8.2765,8.2765
2004/12/14,8.2765,8.2765,8.2765,8.2765
2004/12/15,8.2765,8.2765,8.2765,8.2765
2004/12/17,8.2765,8.2765,8.2765,8.2765
2004/12/21,8.2765,8.2765,8.2765,8.2765
2004/12/22,8.2765,8.2765,8.2765,8.2765
2004/12/23,8.2765,8.2765,8.2765,8.2765
2004/12/24,8.2765,8.2765,8.2765,8.2765
2005/1/7,8.2765,8.2765,8.2765,8.2765
2005/1/10,8.2765,8.2765,8.2765,8.2765
2005/1/11,8.2765,8.2765,8.2765,8.2765
2005/1/12,8.2765,8.2765,8.2765,8.2765
2005/1/13,8.2765,8.2765,8.2765,8.2765
2005/1/14,8.2765,8.2765,8.2765,8.2765
2005/1/17,8.2765,8.2765,8.2765,8.2765
2005/1/18,8.2765,8.2765,8.2765,8.2765
2005/1/19,8.2765,8.2765,8.2765,8.2765
2005/1/20,8.2765,8.2765,8.2765,8.2765
2005/1/21,8.2765,8.2765,8.2765,8.2765
2005/1/24,8.2765,8.2765,8.2765,8.2765
2005/1/25,8.2765,8.2765,8.2765,8.2765
2005/1/26,8.2765,8.2765,8.2765,8.2765
2005/1/27,8.2765,8.2765,8.2765,8.2765
2005/1/28,8.2765,8.2765,8.2765,8.2765
2005/1/31,8.2765,8.2765,8.2765,8.2765
2005/2/1,8.2765,8.2765,8.2765,8.2765
2005/2/2,8.2765,8.2765,8.2765,8.2765
2005/2/3,8.2765,8.2765,8.2765,8.2765
2005/2/4,8.2765,8.2765,8.2765,8.2765
2005/2/5,8.2765,8.2765,8.2765,8.2765
2005/2/6,8.2765,8.2765,8.2765,8.2765
2005/2/7,8.2765,8.2765,8.2765,8.2765
2005/2/8,8.2765,8.2765,8.2765,8.2765
2005/2/16,8.2765,8.2765,8.2765,8.2765
2005/2/17,8.2765,8.2765,8.2765,8.2765
2005/2/18,8.2765,8.2765,8.2765,8.2765
2005/2/21,8.2765,8.2765,8.2765,8.2765
2005/2/22,8.2765,8.2765,8.2765,8.2765
2005/2/23,8.2765,8.2765,8.2765,8.2765
2005/2/24,8.2765,8.2765,8.2765,8.2765
2005/2/25,8.2765,8.2765,8.2765,8.2765
2005/2/28,8.2765,8.2765,8.2765,8.2765
2005/3/1,8.2765,8.2765,8.2765,8.2765
2005/3/2,8.2765,8.2765,8.2765,8.2765
2005/3/3,8.2765,8.2765,8.2765,8.2765
2005/3/4,8.2765,8.2765,8.2765,8.2765
2005/3/7,8.2765,8.2765,8.2765,8.2765
2005/3/8,8.2765,8.2765,8.2765,8.2765
2005/3/9,8.2765,8.2765,8.2765,8.2765
2005/3/10,8.2765,8.2765,8.2765,8.2765
2005/3/11,8.2765,8.2765,8.2765,8.2765
2005/3/14,8.2765,8.2765,8.2765,8.2765
2005/3/15,8.2765,8.2765,8.2765,8.2765
2005/3/16,8.2765,8.2765,8.2765,8.2765
2005/3/17,8.2765,8.2765,8.2765,8.2765
2005/3/18,8.2765,8.2765,8.2765,8.2765
2005/3/21,8.2765,8.2765,8.2765,8.2765
2005/3/22,8.2765,8.2765,8.2765,8.2765
2005/3/23,8.2765,8.2765,8.2765,8.2765
2005/3/24,8.2765,8.2765,8.2765,8.2765
2005/3/25,8.2765,8.2765,8.2765,8.2765
2005/3/28,8.2765,8.2765,8.2765,8.2765
2005/3/29,8.2765,8.2765,8.2765,8.2765
2005/3/30,8.2765,8.2765,8.2765,8.2765
2005/3/31,8.2765,8.2765,8.2765,8.2765
2005/4/1,8.2765,8.2765,8.2765,8.2765
2005/4/4,8.2765,8.2765,8.2765,8.2765
2005/4/5,8.2765,8.2765,8.2765,8.2765
2005/4/6,8.2765,8.2765,8.2765,8.2765
2005/4/7,8.2765,8.2765,8.2765,8.2765
2005/4/8,8.2765,8.2765,8.2765,8.2765
2005/4/11,8.2765,8.2765,8.2765,8.2765
2005/4/12,8.2765,8.2765,8.2765,8.2765
2005/4/13,8.2765,8.2765,8.2765,8.2765
2005/4/14,8.2765,8.2765,8.2765,8.2765
2005/4/15,8.2765,8.2765,8.2765,8.2765
2005/4/18,8.2765,8.2765,8.2765,8.2765
2005/4/19,8.2765,8.2765,8.2765,8.2765
2005/4/20,8.2765,8.2765,8.2765,8.2765
2005/4/21,8.2765,8.2765,8.2765,8.2765
2005/4/22,8.2765,8.2765,8.2765,8.2765
2005/4/25,8.2765,8.2765,8.2765,8.2765
2005/4/26,8.2765,8.2765,8.2765,8.2765
2005/4/27,8.2765,8.2765,8.2765,8.2765
2005/4/28,8.2765,8.2765,8.2765,8.2765
2005/4/29,8.2765,8.2765,8.2765,8.2765
2005/4/30,8.2765,8.2765,8.2765,8.2765
2005/5/8,8.2765,8.2765,8.2765,8.2765
2005/5/9,8.2765,8.2765,8.2765,8.2765
2005/5/10,8.2765,8.2765,8.2765,8.2765
2005/5/11,8.2765,8.2765,8.2765,8.2765
2005/5/12,8.2765,8.2765,8.2765,8.2765
2005/5/13,8.2765,8.2765,8.2765,8.2765
2005/5/16,8.2765,8.2765,8.2765,8.2765
2005/5/17,8.2765,8.2765,8.2765,8.2765
2005/5/18,8.2765,8.2765,8.2765,8.2765
2005/5/19,8.2765,8.2765,8.2765,8.2765
2005/5/20,8.2765,8.2765,8.2765,8.2765
2005/5/23,8.2765,8.2765,8.2765,8.2765
2005/5/24,8.2765,8.2765,8.2765,8.2765
2005/5/25,8.2765,8.2765,8.2765,8.2765
2005/5/26,8.2765,8.2765,8.2765,8.2765
2005/5/27,8.2765,8.2765,8.2765,8.2765
2005/5/30,8.2765,8.2765,8.2765,8.2765
2005/5/31,8.2765,8.2765,8.2765,8.2765
2005/6/1,8.2765,8.2765,8.2765,8.2765
2005/6/2,8.2765,8.2765,8.2765,8.2765
2005/6/3,8.2765,8.2765,8.2765,8.2765
2005/6/6,8.2765,8.2765,8.2765,8.2765
2005/6/7,8.2765,8.2765,8.2765,8.2765
2005/6/8,8.2765,8.2765,8.2765,8.2765
2005/6/9,8.2765,8.2765,8.2765,8.2765
2005/6/10,8.2765,8.2765,8.2765,8.2765
2005/6/13,8.2765,8.2765,8.2765,8.2765
2005/6/14,8.2765,8.2765,8.2765,8.2765
2005/6/15,8.2765,8.2765,8.2765,8.2765
2005/6/16,8.2765,8.2765,8.2765,8.2765
2005/6/17,8.2765,8.2765,8.2765,8.2765
2005/6/20,8.2765,8.2765,8.2765,8.2765
2005/6/21,8.2765,8.2765,8.2765,8.2765
2005/6/22,8.2765,8.2765,8.2765,8.2765
2005/6/23,8.2765,8.2765,8.2765,8.2765
2005/6/24,8.2765,8.2765,8.2765,8.2765
2005/6/27,8.2765,8.2765,8.2765,8.2765
